DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2016,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2017,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2018,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2019,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2020,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2021,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2022,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2013,67251,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2014,70341,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2015,73836,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2016,74293,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2017,73561,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2018,77740,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2019,80402,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2020,42599,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NO,2021,41401,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2013,262382,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2014,260260,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2015,269664,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2016,285094,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2017,295394,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2018,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2019,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,PL,2020,,c
